source_type,threat_type,asset_criticality,integrity_change,wazuh_rule_level,suricata_severity,failed_logins_1m,failed_logins_5m,unique_ports_1m,repeated_event_count,time_window_density,recurrence_history,new_user_created,off_hours,privileged_account,blacklisted_ip,label
wazuh,brute_force,medium,none,12,0,16,37,1,4,5,4,0,0,1,1,High
wazuh,unauthorized_user_creation,medium,none,6,0,0,0,0,3,0,1,1,0,0,0,Medium
suricata,port_scan,critical,none,0,2,0,0,54,11,9,4,0,1,0,1,High
wazuh,brute_force,high,none,8,0,11,19,2,4,7,4,0,1,0,0,High
wazuh,file_integrity,high,important,4,0,0,0,0,3,1,2,0,1,0,0,Medium
wazuh,brute_force,low,none,5,0,3,7,0,2,0,0,0,0,0,0,Low
wazuh,brute_force,low,none,9,0,4,10,2,2,3,2,0,1,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,12,0,0,0,0,4,4,2,1,1,0,0,High
suricata,port_scan,high,none,0,2,0,0,24,8,3,0,0,0,0,0,Medium
suricata,port_scan,high,none,0,4,0,0,93,24,12,4,0,1,0,0,Medium
wazuh,brute_force,high,none,12,0,31,49,0,4,7,1,0,0,1,0,High
suricata,port_scan,low,none,0,1,0,0,2,3,4,0,0,0,0,0,Low
suricata,port_scan,low,none,0,1,0,0,3,5,2,0,0,0,0,0,Low
wazuh,file_integrity,low,minor,1,0,0,0,0,2,0,0,0,0,0,0,Low
suricata,port_scan,critical,none,0,3,0,0,60,10,11,1,0,0,0,1,High
wazuh,file_integrity,low,none,2,0,0,0,0,1,2,0,0,0,0,0,Low
wazuh,normal,medium,none,3,0,2,3,5,2,0,0,0,0,0,0,Low
wazuh,brute_force,high,none,5,0,9,17,1,6,1,0,0,0,0,0,Medium
wazuh,file_integrity,medium,important,5,0,0,0,0,2,1,2,0,1,0,0,Medium
wazuh,file_integrity,medium,minor,7,0,0,0,0,1,1,2,0,0,0,0,Medium
wazuh,brute_force,critical,none,13,0,33,62,2,14,8,7,0,1,1,0,Critical
wazuh,brute_force,high,none,13,0,20,21,0,6,4,3,0,1,1,0,High
suricata,port_scan,high,none,0,2,0,0,27,3,4,1,0,0,0,0,Medium
wazuh,brute_force,low,none,6,0,3,6,1,3,4,1,0,1,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,8,0,0,0,0,2,0,1,1,0,0,0,Medium
wazuh,file_integrity,low,important,7,0,0,0,0,3,1,1,0,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,12,0,0,0,0,2,2,2,1,1,1,0,High
wazuh,unauthorized_user_creation,critical,none,12,0,0,0,0,5,5,7,1,0,1,0,Critical
wazuh,brute_force,high,none,9,0,13,44,1,10,7,4,0,0,0,0,High
wazuh,brute_force,medium,none,1,0,2,4,0,1,1,0,0,0,0,0,Low
wazuh,file_integrity,low,none,2,0,0,0,0,1,0,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,critical,none,15,0,0,0,0,5,3,5,1,1,1,1,Critical
wazuh,file_integrity,medium,critical,12,0,0,0,0,3,4,2,0,0,0,0,High
wazuh,unauthorized_user_creation,low,none,9,0,0,0,0,1,2,2,1,1,0,0,Medium
wazuh,file_integrity,low,minor,6,0,0,0,0,3,1,1,0,0,0,0,Medium
suricata,port_scan,critical,none,0,2,0,0,43,16,11,4,0,1,0,1,High
wazuh,normal,medium,none,3,1,2,2,0,2,2,0,0,0,0,0,Low
wazuh,brute_force,medium,none,8,0,5,18,0,3,2,2,0,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,5,0,0,0,0,3,3,2,1,0,0,0,Medium
wazuh,normal,low,none,3,1,2,1,2,1,1,0,0,0,0,0,Low
wazuh,normal,medium,none,2,1,2,1,1,2,1,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,medium,none,7,0,0,0,0,3,0,1,1,1,0,0,Medium
wazuh,brute_force,low,none,5,0,1,5,0,1,2,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,low,none,2,0,0,0,0,1,0,0,1,0,0,0,Medium
suricata,port_scan,high,none,0,2,0,0,13,8,3,1,0,0,0,0,Medium
wazuh,file_integrity,medium,minor,9,0,0,0,0,1,3,1,0,0,0,0,Medium
wazuh,brute_force,low,none,3,0,5,8,0,2,2,0,0,0,0,0,Low
wazuh,file_integrity,medium,important,9,0,0,0,0,1,1,1,0,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,8,0,0,0,0,4,4,1,1,1,0,0,High
suricata,port_scan,critical,none,0,2,0,0,72,20,12,3,0,1,0,1,High
wazuh,normal,critical,none,5,1,2,4,0,1,2,0,0,1,0,0,Medium
wazuh,brute_force,low,none,8,0,9,17,0,5,2,1,0,0,0,0,Medium
wazuh,file_integrity,low,none,4,0,0,0,0,1,2,0,0,0,0,0,Low
suricata,port_scan,high,none,0,1,0,0,24,9,5,1,0,0,0,0,Medium
wazuh,file_integrity,high,critical,8,0,0,0,0,4,4,3,0,1,0,0,High
wazuh,unauthorized_user_creation,low,none,4,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,10,0,0,0,0,4,4,4,1,1,0,0,High
wazuh,file_integrity,low,none,2,0,0,0,0,1,0,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,low,none,2,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,8,0,0,0,0,3,1,2,1,1,0,0,Medium
wazuh,unauthorized_user_creation,high,none,8,0,0,0,0,4,1,3,1,1,0,0,High
suricata,normal,critical,none,7,2,0,2,5,4,0,0,1,0,0,0,Medium
suricata,port_scan,low,none,0,2,0,0,3,5,1,0,0,0,0,0,Low
wazuh,brute_force,medium,none,8,0,9,5,1,3,2,0,0,1,0,0,Medium
wazuh,unauthorized_user_creation,high,none,15,0,0,0,0,3,4,5,1,0,1,1,Critical
wazuh,file_integrity,low,important,9,0,0,0,0,3,1,1,0,0,0,0,Medium
wazuh,brute_force,high,none,10,0,12,27,2,4,7,1,0,0,1,0,High
wazuh,unauthorized_user_creation,high,none,10,0,0,0,0,4,4,1,1,0,1,0,High
wazuh,brute_force,critical,none,12,0,41,118,1,18,8,4,0,1,1,0,Critical
suricata,normal,medium,none,1,0,0,0,4,1,2,0,0,0,0,0,Low
wazuh,file_integrity,high,important,8,0,0,0,0,3,1,2,0,0,0,0,Medium
suricata,normal,critical,none,7,1,0,3,0,4,0,0,0,1,0,0,Medium
wazuh,normal,low,none,3,1,1,2,5,3,1,0,0,0,0,0,Low
wazuh,file_integrity,low,important,4,0,0,0,0,3,1,1,0,0,0,0,Medium
wazuh,brute_force,high,none,6,0,6,14,1,2,4,2,0,0,0,0,Medium
wazuh,brute_force,medium,none,13,0,22,41,2,9,3,4,0,0,0,1,High
wazuh,file_integrity,low,important,8,0,0,0,0,3,2,2,0,1,0,0,Medium
wazuh,brute_force,critical,none,10,0,12,57,1,4,5,1,0,0,0,0,High
wazuh,file_integrity,low,none,4,0,0,0,0,1,0,0,0,0,0,0,Low
wazuh,file_integrity,high,minor,8,0,0,0,0,3,2,0,0,0,0,0,Medium
suricata,port_scan,high,none,0,3,0,0,144,39,17,7,0,0,0,0,Medium
wazuh,file_integrity,critical,important,12,0,0,0,0,2,4,1,0,1,0,0,High
wazuh,file_integrity,low,none,3,0,0,0,0,2,1,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,high,none,8,0,0,0,0,2,2,3,1,1,0,1,High
wazuh,file_integrity,high,important,9,0,0,0,0,2,3,4,0,0,0,0,High
suricata,port_scan,low,none,0,2,0,0,6,5,4,0,0,0,0,0,Low
wazuh,normal,high,none,7,2,0,5,3,3,1,0,1,0,0,0,Medium
suricata,normal,critical,none,7,2,1,3,10,4,0,0,1,1,0,0,Medium
wazuh,brute_force,high,none,13,0,20,22,2,5,6,2,0,0,0,1,High
suricata,port_scan,high,none,0,2,0,0,29,5,7,0,0,0,0,0,Medium
suricata,port_scan,high,none,0,2,0,0,23,5,4,1,0,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,9,0,0,0,0,2,2,2,1,1,0,0,High
wazuh,unauthorized_user_creation,high,none,10,0,0,0,0,4,1,3,1,0,0,0,High
wazuh,brute_force,critical,none,14,0,39,51,0,11,6,7,0,0,1,1,Critical
wazuh,file_integrity,critical,important,12,0,0,0,0,2,2,3,0,0,0,0,High
suricata,port_scan,high,none,0,2,0,0,20,7,3,1,0,0,0,0,Medium
wazuh,brute_force,critical,none,14,0,37,74,2,12,7,4,0,0,1,0,Critical
wazuh,brute_force,high,none,9,0,23,56,0,10,7,2,0,1,0,1,High
suricata,port_scan,high,none,0,4,0,0,137,38,13,4,0,0,0,1,Medium
wazuh,file_integrity,medium,minor,6,0,0,0,0,1,1,1,0,0,0,0,Medium
wazuh,brute_force,medium,none,7,0,3,13,0,4,4,1,0,1,0,0,Medium
suricata,normal,medium,none,1,1,1,3,3,3,2,0,0,0,0,0,Low
wazuh,brute_force,high,none,9,0,5,8,0,5,1,0,0,0,0,0,Medium
wazuh,file_integrity,low,minor,7,0,0,0,0,2,2,0,0,1,0,0,Medium
wazuh,file_integrity,critical,critical,13,0,0,0,0,7,4,7,0,1,1,0,Critical
wazuh,file_integrity,high,important,7,0,0,0,0,2,3,0,0,0,0,0,Medium
wazuh,file_integrity,medium,important,6,0,0,0,0,2,2,0,0,0,0,0,Medium
wazuh,unauthorized_user_creation,low,none,8,0,0,0,0,1,1,2,1,1,0,0,Medium
wazuh,brute_force,high,none,6,0,7,6,2,5,3,2,0,1,0,0,Medium
suricata,port_scan,medium,none,0,1,0,0,10,1,1,0,0,0,0,0,Low
wazuh,file_integrity,high,important,10,0,0,0,0,5,2,2,0,0,0,0,High
wazuh,unauthorized_user_creation,low,none,8,0,0,0,0,3,2,0,1,0,0,0,Medium
wazuh,file_integrity,high,critical,14,0,0,0,0,8,6,4,0,1,1,0,Critical
wazuh,brute_force,low,none,8,0,5,6,2,5,2,2,0,1,0,0,Medium
wazuh,file_integrity,high,important,8,0,0,0,0,3,4,3,0,1,0,0,High
suricata,port_scan,high,none,0,1,0,0,20,9,4,0,0,0,0,0,Medium
wazuh,brute_force,high,none,9,0,35,59,2,8,6,2,0,0,0,0,High
wazuh,brute_force,medium,none,6,0,10,17,2,2,4,1,0,1,0,0,Medium
wazuh,file_integrity,medium,important,6,0,0,0,0,2,2,2,0,1,0,0,Medium
wazuh,unauthorized_user_creation,low,none,3,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,9,0,0,0,0,4,2,4,1,1,1,0,High
wazuh,brute_force,low,none,5,0,1,1,0,1,2,0,0,0,0,0,Low
wazuh,file_integrity,low,none,2,0,0,0,0,1,2,0,0,0,0,0,Low
suricata,port_scan,high,none,0,2,0,0,9,4,4,1,0,0,0,0,Medium
suricata,port_scan,low,none,0,2,0,0,7,5,4,0,0,0,0,0,Low
wazuh,file_integrity,low,minor,1,0,0,0,0,2,0,0,0,0,0,0,Low
wazuh,unauthorized_user_creation,critical,none,15,0,0,0,0,5,2,6,1,1,1,0,Critical
suricata,normal,low,none,2,0,1,0,4,1,0,0,0,0,0,0,Low
wazuh,brute_force,low,none,2,0,4,2,0,1,2,0,0,0,0,0,Low
suricata,port_scan,critical,none,0,3,0,0,38,20,11,4,0,1,0,1,High
wazuh,unauthorized_user_creation,low,none,9,0,0,0,0,3,3,1,1,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,6,0,0,0,0,2,2,0,1,0,0,0,Medium
suricata,port_scan,medium,none,0,2,0,0,26,10,2,1,0,0,0,0,Medium
suricata,port_scan,low,none,0,2,0,0,4,3,4,0,0,0,0,0,Low
wazuh,file_integrity,critical,important,12,0,0,0,0,5,3,1,0,1,0,0,High
wazuh,file_integrity,critical,critical,14,0,0,0,0,4,4,6,0,0,0,0,Critical
wazuh,unauthorized_user_creation,critical,none,14,0,0,0,0,5,5,6,1,0,1,1,Critical
wazuh,unauthorized_user_creation,high,none,9,0,0,0,0,2,1,1,1,1,1,0,High
wazuh,brute_force,low,none,8,0,4,7,2,5,4,2,0,1,0,0,Medium
wazuh,file_integrity,medium,critical,12,0,0,0,0,2,3,1,0,0,0,0,High
wazuh,brute_force,high,none,10,0,32,30,0,5,5,1,0,0,1,1,High
suricata,port_scan,critical,none,0,3,0,0,56,9,10,4,0,0,0,1,High
wazuh,brute_force,low,none,5,0,4,3,0,1,1,0,0,0,0,0,Low
wazuh,file_integrity,high,important,7,0,0,0,0,3,3,1,0,1,0,0,High
wazuh,brute_force,critical,none,13,0,30,102,1,19,10,7,0,1,1,0,Critical
suricata,port_scan,high,none,0,1,0,0,30,6,2,2,0,0,0,0,Medium
wazuh,file_integrity,high,important,5,0,0,0,0,2,1,0,0,1,0,0,Medium
wazuh,file_integrity,low,none,3,0,0,0,0,2,0,0,0,0,0,0,Low
wazuh,brute_force,high,none,8,0,8,18,0,3,4,0,0,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,8,0,0,0,0,2,1,4,1,0,0,1,High
suricata,port_scan,critical,none,0,3,0,0,74,20,6,4,0,1,0,1,High
wazuh,unauthorized_user_creation,medium,none,5,0,0,0,0,3,2,0,1,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,9,0,0,0,0,1,0,0,1,1,0,0,Medium
wazuh,brute_force,low,none,1,0,4,4,0,2,2,0,0,0,0,0,Low
suricata,normal,low,none,3,1,0,2,5,2,0,0,0,0,0,0,Low
suricata,port_scan,medium,none,0,2,0,0,28,10,4,1,0,0,0,0,Medium
wazuh,file_integrity,low,minor,1,0,0,0,0,1,1,0,0,0,0,0,Low
wazuh,file_integrity,medium,important,5,0,0,0,0,1,1,2,0,1,0,0,Medium
wazuh,brute_force,high,none,9,0,5,8,1,4,3,2,0,1,0,0,Medium
wazuh,brute_force,medium,none,8,0,8,17,1,6,2,0,0,0,0,0,Medium
wazuh,unauthorized_user_creation,high,none,12,0,0,0,0,4,2,4,1,1,1,0,High
wazuh,file_integrity,low,none,4,0,0,0,0,1,0,0,0,0,0,0,Low
wazuh,normal,medium,none,1,0,2,3,4,0,2,0,0,0,0,0,Low
wazuh,file_integrity,critical,critical,15,0,0,0,0,3,5,7,0,0,1,0,Critical
wazuh,brute_force,high,none,10,0,33,58,0,9,3,1,0,0,1,0,High
suricata,port_scan,critical,none,0,2,0,0,79,12,7,2,0,1,0,1,High
wazuh,file_integrity,low,important,5,0,0,0,0,3,3,1,0,1,0,0,Medium
wazuh,brute_force,low,none,2,0,1,8,0,3,2,0,0,0,0,0,Low
suricata,port_scan,high,none,0,3,0,0,107,15,14,8,0,0,0,1,Medium
wazuh,file_integrity,medium,critical,11,0,0,0,0,2,4,1,0,0,0,0,High
wazuh,brute_force,medium,none,1,0,3,2,0,1,1,0,0,0,0,0,Low
wazuh,brute_force,medium,none,5,0,10,11,2,3,2,2,0,0,0,0,Medium
wazuh,unauthorized_user_creation,critical,none,12,0,0,0,0,3,4,8,1,1,1,1,Critical
suricata,port_scan,high,none,0,2,0,0,14,7,2,1,0,0,0,0,Medium
wazuh,brute_force,high,none,15,0,47,54,1,19,10,8,0,0,1,0,Critical
wazuh,unauthorized_user_creation,medium,none,8,0,0,0,0,2,0,1,1,1,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,5,0,0,0,0,1,0,0,1,1,0,0,Medium
wazuh,file_integrity,low,minor,1,0,0,0,0,1,1,0,0,0,0,0,Low
wazuh,brute_force,medium,none,8,0,16,52,2,9,6,1,0,0,0,1,High
wazuh,unauthorized_user_creation,high,none,5,0,0,0,0,1,0,2,1,1,0,0,Medium
wazuh,unauthorized_user_creation,low,none,5,0,0,0,0,1,3,0,1,1,0,0,Medium
wazuh,file_integrity,high,critical,14,0,0,0,0,6,3,4,0,0,1,0,Critical
suricata,port_scan,critical,none,0,2,0,0,90,13,12,3,0,0,0,1,High
wazuh,unauthorized_user_creation,high,none,9,0,0,0,0,4,3,3,1,0,1,0,High
wazuh,file_integrity,critical,critical,8,0,0,0,0,3,2,1,0,1,0,0,High
wazuh,brute_force,high,none,8,0,10,50,2,9,5,4,0,1,1,1,High
suricata,port_scan,critical,none,0,3,0,0,70,11,8,4,0,1,0,1,High
wazuh,file_integrity,low,important,7,0,0,0,0,3,2,0,0,0,0,0,Medium
wazuh,brute_force,high,none,8,0,3,10,2,6,1,1,0,0,0,0,Medium
suricata,port_scan,high,none,0,2,0,0,8,5,5,1,0,0,0,0,Medium
wazuh,unauthorized_user_creation,medium,none,4,0,0,0,0,1,0,0,1,0,0,0,Medium
wazuh,unauthorized_user_creation,low,none,5,0,0,0,0,1,0,0,1,0,0,0,Medium
